제목,내용,PDF파일명,페이지
2024년,개인용 윤활제 허가,2024_faq.pdf,29
2024년,의료기기 판단 기준,2024_faq.pdf,30
2024년,의료기기 해당 여부(스포츠용 테이프),2024_faq.pdf,31
2024년,의료기기 해당 여부(의료기기 고정해주는 일회용 제품),2024_faq.pdf,31
2024년,의료기기 해당 여부(휠체어를 자동으로 세척해주는 장비),2024_faq.pdf,31
2024년,의료기기 해당 여부 질의 방법,2024_faq.pdf,32
2024년,의료기기 해당 여부(MTS롤러),2024_faq.pdf,32
2024년,의료기기 해당 여부(가정용 체중계),2024_faq.pdf,33
2024년,의료기기 해당 여부(구강세정기),2024_faq.pdf,33
2024년,의료기기 해당 여부(깔창),2024_faq.pdf,33
2024년,의료기기 해당 여부(돋보기),2024_faq.pdf,34
2024년,의료기기 해당 여부(마우스가드),2024_faq.pdf,34
2024년,의료기기 해당 여부(무도수 안경렌즈),2024_faq.pdf,34
2024년,의료기기 해당 여부(벌레 물린곳 사용 기기),2024_faq.pdf,35
2024년,의료기기 해당 여부(수술포),2024_faq.pdf,35
2024년,의료기기 해당 여부(스포츠용 손목보호대),2024_faq.pdf,36
2024년,의료기기 해당 여부(쑥잎 시트),2024_faq.pdf,36
2024년,의료기기 해당 여부(압박용 스타킹),2024_faq.pdf,37
2024년,의료기기 해당 여부(온열 찜질팩),2024_faq.pdf,37
2024년,의료기기 해당 여부(입벌림 방지용 밴드),2024_faq.pdf,37
2024년,의료기기 해당 여부(자동화 생산 제조설비),2024_faq.pdf,38
2024년,의료기기 해당 여부(자세교정밴드),2024_faq.pdf,38
2024년,의료기기 해당 여부(전동식 콧물흡입기),2024_faq.pdf,38
2024년,의료기기 해당 여부(주사제 용기),2024_faq.pdf,39
2024년,의료기기 해당 여부(지팡이),2024_faq.pdf,39
2024년,의료기기 해당 여부(질식방지키트),2024_faq.pdf,39
2024년,의료기기 해당 여부(초음파를 이용한 치석제거기),2024_faq.pdf,40
2024년,의료기기 해당 여부(치과용 임플란트 기공재료),2024_faq.pdf,40
2024년,의료기기 해당 여부(코세정용 염화나트륨 분말),2024_faq.pdf,41
2024년,의료기기 해당 여부(쿨링시트),2024_faq.pdf,41
2024년,의료기기 해당 여부(플라즈마 점 제거기),2024_faq.pdf,42
2024년,의료기기 해당 여부(흡연측정기),2024_faq.pdf,42
2024년,1~4등급 위해도 확인 경로,2024_faq.pdf,43
2024년,신고번호 의미,2024_faq.pdf,43
2024년,의료기기 품목 등급,2024_faq.pdf,43
2024년,의료인만 사용 가능한 의료기기,2024_faq.pdf,44
2024년,초음파흡입기의 부분품 수입 가능 여부,2024_faq.pdf,44
2024년,대표자 건강진단서 내용,2024_faq.pdf,45
2024년,의료기기 업허가증 재발급 절차,2024_faq.pdf,46
2024년,콘택트렌즈 제조업체 품질책임자 기준,2024_faq.pdf,47
2024년,품목 취하에 따른 품질책임자 교육,2024_faq.pdf,47
2024년,품질책임자 각각 두어야 하는지 여부,2024_faq.pdf,48
2024년,품질책임자 부재 기간,2024_faq.pdf,48
2024년,2등급 수출용 인증 시 신청해야 하는 민원명,2024_faq.pdf,49
2024년,구매한 의료기기가 허가되었는지 조회할 수 있는 경로,2024_faq.pdf,49
2024년,단종된 소프트웨어 허가 유지,2024_faq.pdf,50
2024년,봉합사의 제조방법 기재 질의,2024_faq.pdf,51
2024년,소프트웨어 의료기기 허가 질의,2024_faq.pdf,52
2024년,소프트웨어 수입 허가 및 판매 문의,2024_faq.pdf,53
2024년,수은 함유 의료기기 사용 가능 여부,2024_faq.pdf,54
2024년,수입 1등급 의료기기 양도양수,2024_faq.pdf,54
2024년,수출용 제조 시 허가 ,2024_faq.pdf,55
2024년,수탁자 사명 변경,2024_faq.pdf,55
2024년,양압기 통신칩 교체 여부,2024_faq.pdf,56
2024년,업체별 품목 보유 현황 확인 방법,2024_faq.pdf,56
2024년,유헬스케어 의료기기 시험성적서 인정 범위,2024_faq.pdf,57
2024년,유헬스케어 의료기기 정의,2024_faq.pdf,58
2024년,유헬스케어 의료기기 해당여부(건강정보앱),2024_faq.pdf,58
2024년,유헬스케어 의료기기 해당여부(와이파이 전송 가능),2024_faq.pdf,59
2024년,유헬스케어 전자체온계 기준,2024_faq.pdf,59
2024년,유헬스케어 측정기기 품목,2024_faq.pdf,60
2024년,유헬스케어 측정기기 품목 분류,2024_faq.pdf,60
2024년,유헬스케어 혈압계 기준,2024_faq.pdf,61
2024년,의료기기 구성품 변경 가능 여부,2024_faq.pdf,61
2024년,의료기기 변경 허가,2024_faq.pdf,62
2024년,의료기기 제조업 소재지 변경 방법,2024_faq.pdf,62
2024년,의료기기 제품명 사용 가능 여부,2024_faq.pdf,63
2024년,의료기기 품목 취하,2024_faq.pdf,63
2024년,의료기기 허가정보 비공개 질의,2024_faq.pdf,64
2024년,의료기기(창상피복재) 포장문의,2024_faq.pdf,65
2024년,이식형의약품주입기 한벌구성제품의 보호캡 변경시 기술문서 심사대상 여부,2024_faq.pdf,65
2024년,일부 모델명 삭제 방법,2024_faq.pdf,66
2024년,일부품목 변경 시 제조업 변경허가 대상,2024_faq.pdf,66
2024년,제품명만 변경 시 절차,2024_faq.pdf,67
2024년,포장단위 변경,2024_faq.pdf,67
2024년,해외 임상시험용 의료기기 품목허가,2024_faq.pdf,68
2024년,해외 전공정 위탁 의료기기 수출에 대한 허가 필요 여부,2024_faq.pdf,68
2024년,허가증 분리 시 기술문서 심사,2024_faq.pdf,69
2024년,휴업 중 제조소 소재지 변경허가 신청,2024_faq.pdf,70
2024년,조건부 제조업허가 가능 여부,2024_faq.pdf,71
2024년,식약처 지정 임상시험기관이 아닌 의료기관의 임상시험 참여,2024_faq.pdf,72
2024년,의료기기 임상시험계획승인,2024_faq.pdf,74
2024년,의료기기 임상시험계획승인 대상여부,2024_faq.pdf,75
